,1,2,3,4,5,6,7,8,9,10,11,12
A,179658,95940,39793,24800,7010,48712,28350,487,24482,601,69152,17471
B,130603,77153,11089,6627,7791,8372,12282,575,19971,2327,3578,10115
C,112602,59149,33585,10941,10822,9962,1014,4369,23952,4888,626,35123
D,76937,40433,21340,3916,5822,3564,556,6140,7125,16880,503,419
E,34033,20022,11516,13622,6160,11580,18035,726,10530,1774,13413,463
F,18587,9383,57711,26176,11267,1795,13593,720,13688,615,23360,3040
G,9451,5291,29290,12731,9929,2456,78441,10662,31986,871,3244,13122
H,234,250,28310,30053,24257,5131,1542,7813,607,17066,1104,340
